1000	0.148	0.148	0.000
1850	-0.109	-0.109	-0.109
1851	-0.108	-0.108	-0.108
1852	-0.109	-0.109	-0.109
1853	-0.109	-0.109	-0.109
1854	-0.107	-0.107	-0.107
1855	-0.108	-0.108	-0.108
1856	-0.108	-0.108	-0.108
1857	-0.106	-0.106	-0.106
1858	-0.105	-0.105	-0.105
1859	-0.105	-0.105	-0.105
1860	-0.105	-0.105	-0.105
1861	-0.104	-0.104	-0.104
1862	-0.103	-0.103	-0.103
1863	-0.103	-0.103	-0.103
1864	-0.104	-0.104	-0.104
1865	-0.102	-0.102	-0.102
1866	-0.100	-0.100	-0.100
1867	-0.101	-0.101	-0.101
1868	-0.100	-0.100	-0.100
1869	-0.100	-0.100	-0.100
1870	-0.100	-0.100	-0.100
1871	-0.099	-0.099	-0.099
1872	-0.097	-0.097	-0.097
1873	-0.096	-0.096	-0.096
1874	-0.094	-0.094	-0.094
1875	-0.093	-0.093	-0.093
1876	-0.092	-0.092	-0.092
1877	-0.092	-0.092	-0.092
1878	-0.092	-0.092	-0.092
1879	-0.090	-0.090	-0.090
1880	-0.089	-0.089	-0.089
1881	-0.089	-0.089	-0.089
1882	-0.087	-0.087	-0.087
1883	-0.087	-0.087	-0.087
1884	-0.086	-0.086	-0.086
1885	-0.086	-0.086	-0.086
1886	-0.083	-0.083	-0.083
1887	-0.082	-0.082	-0.082
1888	-0.082	-0.082	-0.082
1889	-0.080	-0.080	-0.080
1890	-0.080	-0.080	-0.080
1891	-0.080	-0.080	-0.080
1892	-0.081	-0.081	-0.081
1893	-0.079	-0.079	-0.079
1894	-0.079	-0.079	-0.079
1895	-0.080	-0.080	-0.080
1896	-0.081	-0.081	-0.081
1897	-0.081	-0.081	-0.081
1898	-0.080	-0.080	-0.080
1899	-0.080	-0.080	-0.080
1900	-0.079	-0.079	-0.079
1901	-0.078	-0.078	-0.078
1902	-0.074	-0.074	-0.074
1903	-0.072	-0.072	-0.072
1904	-0.069	-0.069	-0.069
1905	-0.065	-0.065	-0.065
1906	-0.063	-0.063	-0.063
1907	-0.061	-0.061	-0.061
1908	-0.057	-0.057	-0.057
1909	-0.056	-0.056	-0.056
1910	-0.053	-0.053	-0.053
1911	-0.050	-0.050	-0.050
1912	-0.046	-0.046	-0.046
1913	-0.041	-0.041	-0.041
1914	-0.038	-0.038	-0.038
1915	-0.034	-0.034	-0.034
1916	-0.030	-0.030	-0.030
1917	-0.025	-0.025	-0.025
1918	-0.021	-0.021	-0.021
1919	-0.018	-0.018	-0.018
1920	-0.012	-0.012	-0.012
1921	-0.012	-0.012	-0.012
1922	-0.013	-0.013	-0.013
1923	-0.013	-0.013	-0.013
1924	-0.014	-0.014	-0.014
1925	-0.015	-0.015	-0.015
1926	-0.017	-0.017	-0.017
1927	-0.016	-0.016	-0.016
1928	-0.014	-0.014	-0.014
1929	-0.013	-0.013	-0.013
1930	-0.013	-0.013	-0.013
1931	-0.010	-0.010	-0.010
1932	-0.005	-0.005	-0.005
1933	0.000	0.000	0.000
1934	0.003	0.003	0.003
1935	0.007	0.007	0.007
1936	0.011	0.011	0.011
1937	0.014	0.014	0.014
1938	0.018	0.018	0.018
1939	0.020	0.020	0.020
